"Assembly"	"Accesion"	"Region"	"NRPS"	"NRP.metallophore"	"NIS"	"Metallophore"	"Span"	"ContigEdge"	"Taxonomy"	"Species"	"Orn_monoox"	"IBH_Asp"	"EntC"	"EntA"	"Lys_monoox"	"SalSyn"	"IPL"	"Cy_tandem"	"VibH_like"	"TBH_Asp"	"PvdO"	"PvdP"	"IBH_His"	"KtzT"	"MetRS.like"	"VbsL"	"FbnL"	"FbnM"	"SBH_Asp"	"GrbD"	"GrbE"	"CyanoBH_Asp1"	"CyanoBH_Asp2"	"X"	"TonB_dep_Rec"	"Peripla_BP_2"	"FecCD"	"TRANSPORT"	"CATECHOL"	"GRAMININE"	"DMAQ"	"HYDROXAMATE"	"SALICYLATE"	"OHASP"	"OHHIS"	"PYOVERDINE"
"GCF_001274895.1_NZ_CP006841.1.region001"	"GCF_001274895.1"	"NZ_CP006841.1"	"region001"	TRUE	TRUE	FALSE	TRUE	"389160..442201"	FALSE	"Bacteria_Actinobacteria_Corynebacteriales_Corynebacteriaceae_Corynebacterium"	"Corynebacterium lactis RW2-5"	440.8	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	99.5	300.9	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE
"GCF_001412085.1_NZ_LKEV01000008.1.region001"	"GCF_001412085.1"	"NZ_LKEV01000008.1"	"region001"	TRUE	TRUE	FALSE	TRUE	"17836..65671"	FALSE	"Bacteria_Actinobacteria_Corynebacteriales_Corynebacteriaceae_Corynebacterium"	"Corynebacterium lowii"	NA	NA	NA	NA	440.4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	85.7	291.3	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE
"GCF_001412105.1_NZ_LKST01000004.1.region001"	"GCF_001412105.1"	"NZ_LKST01000004.1"	"region001"	TRUE	TRUE	FALSE	TRUE	"13566..61449"	FALSE	"Bacteria_Actinobacteria_Corynebacteriales_Corynebacteriaceae_Corynebacterium"	"Corynebacterium oculi"	NA	NA	NA	NA	443.6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	78.8	296.8	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE
"GCF_001941505.1_NZ_CP009248.1.region001"	"GCF_001941505.1"	"NZ_CP009248.1"	"region001"	TRUE	TRUE	FALSE	TRUE	"324802..385829"	FALSE	"Bacteria_Actinobacteria_Corynebacteriales_Corynebacteriaceae_Corynebacterium"	"Corynebacterium sphenisci DSM 44792"	NA	NA	399.1	225.9	432.8	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	67.9	279.1	TRUE	TRUE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE
"GCF_001941565.1_NZ_CP009249.1.region003"	"GCF_001941565.1"	"NZ_CP009249.1"	"region003"	TRUE	TRUE	FALSE	TRUE	"2432270..2482076"	FALSE	"Bacteria_Actinobacteria_Corynebacteriales_Corynebacteriaceae_Corynebacterium"	"Corynebacterium phocae"	NA	NA	385.1	260.9	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
"GCF_003065405.1_NZ_CP026947.1.region001"	"GCF_003065405.1"	"NZ_CP026947.1"	"region001"	TRUE	TRUE	FALSE	TRUE	"378398..431045"	FALSE	"Bacteria_Actinobacteria_Corynebacteriales_Corynebacteriaceae_Corynebacterium"	"Corynebacterium yudongzhengii"	NA	NA	NA	NA	331.5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	72.2	263.7	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE
"GCF_003813985.1_NZ_CP033897.1.region002"	"GCF_003813985.1"	"NZ_CP033897.1"	"region002"	TRUE	TRUE	FALSE	TRUE	"1905672..1955672"	FALSE	"Bacteria_Actinobacteria_Corynebacteriales_Corynebacteriaceae_Corynebacterium"	"Corynebacterium gerontici"	NA	NA	320.4	244.4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	88.1	275.5	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
"GCF_003814005.1_NZ_CP033898.1.region002"	"GCF_003814005.1"	"NZ_CP033898.1"	"region002"	TRUE	TRUE	FALSE	TRUE	"1990432..2040504"	FALSE	"Bacteria_Actinobacteria_Corynebacteriales_Corynebacteriaceae_Corynebacterium"	"Corynebacterium pseudopelargi"	NA	NA	345.5	261.9	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	72.1	269.3	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
"GCF_003932295.1_NZ_PQNX01000006.1.region002"	"GCF_003932295.1"	"NZ_PQNX01000006.1"	"region002"	TRUE	TRUE	FALSE	TRUE	"45102..115223"	FALSE	"Bacteria_Actinobacteria_Corynebacteriales_Corynebacteriaceae_Corynebacterium"	"Corynebacterium bovis"	NA	NA	NA	NA	NA	477.7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	93.5	NA	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE
"GCF_004114895.1_NZ_CP035299.1.region002"	"GCF_004114895.1"	"NZ_CP035299.1"	"region002"	TRUE	TRUE	FALSE	TRUE	"2008247..2058319"	FALSE	"Bacteria_Actinobacteria_Corynebacteriales_Corynebacteriaceae_Corynebacterium"	"Corynebacterium pelargi"	NA	NA	347.5	261.9	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	67.5	269	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
"GCF_006539825.1_NZ_BJNT01000013.1.region001"	"GCF_006539825.1"	"NZ_BJNT01000013.1"	"region001"	TRUE	TRUE	FALSE	TRUE	"1738..51969"	FALSE	"Bacteria_Actinobacteria_Corynebacteriales_Corynebacteriaceae_Corynebacterium"	"Corynebacterium variabile"	NA	NA	NA	NA	544.7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	313	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE
"GCF_016728105.1_NZ_CP068158.1.region002"	"GCF_016728105.1"	"NZ_CP068158.1"	"region002"	TRUE	TRUE	FALSE	TRUE	"1454849..1507225"	FALSE	"Bacteria_Actinobacteria_Corynebacteriales_Corynebacteriaceae_Corynebacterium"	"Corynebacterium striatum"	443.6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	101.3	299.8	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE
"GCF_016728665.1_NZ_CP068161.1.region005"	"GCF_016728665.1"	"NZ_CP068161.1"	"region005"	TRUE	TRUE	FALSE	TRUE	"1514300..1573054"	FALSE	"Bacteria_Actinobacteria_Corynebacteriales_Corynebacteriaceae_Corynebacterium"	"Corynebacterium propinquum"	NA	NA	390.2	239.6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	71.5	286.1	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
"GCF_017876455.1_NZ_JAGINY010000001.1.region004"	"GCF_017876455.1"	"NZ_JAGINY010000001.1"	"region004"	TRUE	TRUE	FALSE	TRUE	"1753839..1818412"	FALSE	"Bacteria_Actinobacteria_Corynebacteriales_Corynebacteriaceae_Corynebacterium"	"Corynebacterium freneyi"	NA	NA	411.5	NA	558.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	76.9	288.7	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE
"GCF_017876455.1_NZ_JAGINY010000001.1.region005"	"GCF_017876455.1"	"NZ_JAGINY010000001.1"	"region005"	TRUE	TRUE	FALSE	TRUE	"2535945..2607351"	FALSE	"Bacteria_Actinobacteria_Corynebacteriales_Corynebacteriaceae_Corynebacterium"	"Corynebacterium freneyi"	NA	NA	NA	NA	381	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	44.4	257.7	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE
"GCF_020616335.1_NZ_CP085051.1.region001"	"GCF_020616335.1"	"NZ_CP085051.1"	"region001"	TRUE	TRUE	FALSE	TRUE	"383057..442167"	FALSE	"Bacteria_Actinobacteria_Corynebacteriales_Corynebacteriaceae_Corynebacterium"	"Corynebacterium uberis"	NA	NA	396.6	261.6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	48.9	319.3	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
"GCF_021568315.1_NZ_JAKGSI010000004.1.region003"	"GCF_021568315.1"	"NZ_JAKGSI010000004.1"	"region003"	TRUE	TRUE	FALSE	TRUE	"284075..374552"	FALSE	"Bacteria_Actinobacteria_Corynebacteriales_Corynebacteriaceae_Corynebacterium"	"Corynebacterium uropygiale"	NA	NA	367.8	263.7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	78.8	283.2	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
"GCF_021713135.1_NZ_JAKJKO010000001.1.region003"	"GCF_021713135.1"	"NZ_JAKJKO010000001.1"	"region003"	TRUE	TRUE	FALSE	TRUE	"1040423..1092502"	FALSE	"Bacteria_Actinobacteria_Corynebacteriales_Corynebacteriaceae_Corynebacterium"	"Corynebacterium parakroppenstedtii"	NA	NA	NA	293	412.4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	68.9	NA	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE
"GCF_900187235.1_NZ_LT906481.1.region006"	"GCF_900187235.1"	"NZ_LT906481.1"	"region006"	TRUE	TRUE	FALSE	TRUE	"2067986..2120362"	FALSE	"Bacteria_Actinobacteria_Corynebacteriales_Corynebacteriaceae_Corynebacterium"	"Corynebacterium urealyticum"	443.9	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	101.3	299.8	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE
"GCF_900232865.1_NZ_OCTS01000002.1.region001"	"GCF_900232865.1"	"NZ_OCTS01000002.1"	"region001"	TRUE	TRUE	FALSE	TRUE	"234181..301661"	FALSE	"Bacteria_Actinobacteria_Corynebacteriales_Corynebacteriaceae_Corynebacterium"	"Corynebacterium dentalis"	444.3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	101.3	299.6	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE
"GCF_900626215.1_NZ_LR131106.1.region001"	"GCF_900626215.1"	"NZ_LR131106.1"	"region001"	TRUE	TRUE	FALSE	TRUE	"526908..597397"	FALSE	"Bacteria_Actinobacteria_Corynebacteriales_Corynebacteriaceae_Corynebacterium"	"Corynebacterium neomassiliense"	480.2	NA	362.4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	56.8	NA	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE
"GCF_900626215.1_NZ_LR131106.1.region003"	"GCF_900626215.1"	"NZ_LR131106.1"	"region003"	TRUE	TRUE	FALSE	TRUE	"1353838..1404767"	FALSE	"Bacteria_Actinobacteria_Corynebacteriales_Corynebacteriaceae_Corynebacterium"	"Corynebacterium neomassiliense"	NA	NA	NA	NA	533	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	308.2	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE
"GCF_022012575.1_NZ_JAKLTK010000001.1.region002"	"GCF_022012575.1"	"NZ_JAKLTK010000001.1"	"region002"	TRUE	TRUE	FALSE	TRUE	"405709..457888"	FALSE	"Bacteria_Actinobacteria_Corynebacteriales_Corynebacteriaceae_Corynebacterium_unclassified Corynebacterium"	"Corynebacterium sp. MC-03"	NA	NA	NA	297.3	457	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	73.4	NA	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE
"GCF_000024785.1_NC_013441.1.region002"	"GCF_000024785.1"	"NC_013441.1"	"region002"	TRUE	TRUE	FALSE	TRUE	"639237..725437"	FALSE	"Bacteria_Actinobacteria_Corynebacteriales_Gordoniaceae_Gordonia"	"Gordonia bronchialis DSM 43247"	NA	NA	NA	NA	683.8	517.2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	63.3	295.5	TRUE	FALSE	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE
"GCF_000241305.1_NZ_BAEH01000036.1.region001"	"GCF_000241305.1"	"NZ_BAEH01000036.1"	"region001"	TRUE	TRUE	FALSE	TRUE	"25163..94404"	FALSE	"Bacteria_Actinobacteria_Corynebacteriales_Gordoniaceae_Gordonia"	"Gordonia effusa NBRC 100432"	NA	NA	NA	NA	729.1	525.6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE
"GCF_000247715.1_NC_016906.1.region004"	"GCF_000247715.1"	"NC_016906.1"	"region004"	TRUE	TRUE	FALSE	TRUE	"720206..777930"	FALSE	"Bacteria_Actinobacteria_Corynebacteriales_Gordoniaceae_Gordonia"	"Gordonia polyisoprenivorans VH2"	435	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	100.1	275.4	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE
"GCF_000247715.1_NC_016906.1.region009"	"GCF_000247715.1"	"NC_016906.1"	"region009"	TRUE	TRUE	FALSE	TRUE	"2646641..2720102"	FALSE	"Bacteria_Actinobacteria_Corynebacteriales_Gordoniaceae_Gordonia"	"Gordonia polyisoprenivorans VH2"	526.9	NA	398.9	270.3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	88.3	NA	FALSE	TRUE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE
"GCF_000248055.1_NZ_BAFC01000022.1.region002"	"GCF_000248055.1"	"NZ_BAFC01000022.1"	"region002"	TRUE	TRUE	FALSE	TRUE	"130903..201339"	FALSE	"Bacteria_Actinobacteria_Corynebacteriales_Gordoniaceae_Gordonia"	"Gordonia sputi NBRC 100414"	509.7	NA	385	266	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	87.5	NA	FALSE	TRUE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE
"GCF_000332975.1_NZ_BANR01000005.1.region002"	"GCF_000332975.1"	"NZ_BANR01000005.1"	"region002"	TRUE	TRUE	FALSE	TRUE	"273629..343832"	FALSE	"Bacteria_Actinobacteria_Corynebacteriales_Gordoniaceae_Gordonia"	"Gordonia aichiensis NBRC 108223"	524.3	NA	373	255	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	86.5	NA	FALSE	TRUE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE
"GCF_000333035.1_NZ_BANU01000011.1.region001"	"GCF_000333035.1"	"NZ_BANU01000011.1"	"region001"	TRUE	TRUE	FALSE	TRUE	"6892..70521"	FALSE	"Bacteria_Actinobacteria_Corynebacteriales_Gordoniaceae_Gordonia"	"Gordonia sihwensis NBRC 108236"	NA	NA	NA	NA	633.2	509.4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	62.9	NA	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE
"GCF_001186365.1_NZ_LDTZ01000013.1.region003"	"GCF_001186365.1"	"NZ_LDTZ01000013.1"	"region003"	TRUE	TRUE	FALSE	TRUE	"446370..516613"	FALSE	"Bacteria_Actinobacteria_Corynebacteriales_Gordoniaceae_Gordonia"	"Gordonia jacobaea"	515.4	NA	376.5	264.7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	82.6	NA	FALSE	TRUE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE
"GCF_001305675.1_NZ_CP011853.1.region008"	"GCF_001305675.1"	"NZ_CP011853.1"	"region008"	TRUE	TRUE	FALSE	TRUE	"3880591..3943272"	FALSE	"Bacteria_Actinobacteria_Corynebacteriales_Gordoniaceae_Gordonia"	"Gordonia phthalatica"	NA	NA	NA	NA	630.4	512.8	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	70.3	NA	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE
"GCF_001592365.1_NZ_BCWU01000002.1.region001"	"GCF_001592365.1"	"NZ_BCWU01000002.1"	"region001"	TRUE	TRUE	FALSE	TRUE	"151505..214265"	FALSE	"Bacteria_Actinobacteria_Corynebacteriales_Gordoniaceae_Gordonia"	"Gordonia hydrophobica NBRC 16057"	NA	NA	NA	NA	626.1	512.6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	78.4	312.4	TRUE	FALSE	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE
"GCF_002149015.1_NZ_NGFO01000018.1.region001"	"GCF_002149015.1"	"NZ_NGFO01000018.1"	"region001"	TRUE	TRUE	TRUE	TRUE	"39514..98933"	FALSE	"Bacteria_Actinobacteria_Corynebacteriales_Gordoniaceae_Gordonia"	"Gordonia lacunae"	NA	NA	NA	NA	NA	548.7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	72.5	NA	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE
"GCF_002993285.1_NZ_CP027433.1.region004"	"GCF_002993285.1"	"NZ_CP027433.1"	"region004"	TRUE	TRUE	FALSE	TRUE	"1663008..1732367"	FALSE	"Bacteria_Actinobacteria_Corynebacteriales_Gordoniaceae_Gordonia"	"Gordonia iterans"	529.5	NA	401.5	251.5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	51.4	290.1	TRUE	TRUE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE
"GCF_003797185.1_NZ_RKMH01000010.1.region001"	"GCF_003797185.1"	"NZ_RKMH01000010.1"	"region001"	TRUE	TRUE	FALSE	TRUE	"10603..69897"	FALSE	"Bacteria_Actinobacteria_Corynebacteriales_Gordoniaceae_Gordonia"	"Gordonia oryzae"	435	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	99.7	274.3	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE
"GCF_003855095.1_NZ_CP033972.1.region003"	"GCF_003855095.1"	"NZ_CP033972.1"	"region003"	TRUE	TRUE	FALSE	TRUE	"986702..1054774"	FALSE	"Bacteria_Actinobacteria_Corynebacteriales_Gordoniaceae_Gordonia"	"Gordonia insulae"	535.2	NA	NA	255.2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	64.2	NA	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE
