"Accession ID","Assembly","BiG-SCAPE class","CATECHOL","ContigEdge","Cy_tandem","CyanoBH_Asp1","CyanoBH_Asp2","Description","DMAQ","EntA","EntC","FbnL","FbnM","FecCD","GRAMININE","GrbD","GrbE","HYDROXAMATE","IBH_Asp","IBH_His","IPL","Lys_monoox","name","network_table$Lookup","network_trans_count","NRP.siderophore","NRPS","NRPS.like","OHASP","OHHIS","Organism","Orn_monoox","Peripla_BP_2","Product Prediction","PvdO","PvdP","PYOVERDINE","Region","region_type","SALICYLATE","SalSyn","selected","shared name","Taxonomy","TBH_Asp","TonB_dep_Rec","VbsL","VibH_like"
"NC_004578.1","GCF_000007805.1","Others","0","0","0","0","0","Pseudomonas syringae pv. tomato str. DC3000, complete sequence","0","0","0","0","0","1","0","0","0","0","0","0","0","0","GCF_000007805.1_ASM780v1_genomic_NC_004578.1.region003","GCF_000007805.1_NC_004578.1.region003","2","1","1","0","1","0","Pseudomonas syringae pv. tomato str. DC3000","0","0","NRP-siderophore.NRPS","1","1","1","region003","MIXED","0","0","false","GCF_000007805.1_ASM780v1_genomic_NC_004578.1.region003","Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas","1","1","0","0"
"NZ_BQID01000005.1","GCF_021602345.1","Others","0","0","0","0","0","Pseudomonas pharyngis strain BML-PP036 sequence05, whole genome shotgun sequence","0","0","0","0","0","0","0","0","0","1","0","0","0","0","GCF_021602345.1_ASM2160234v1_genomic_NZ_BQID01000005.1.region001","GCF_021602345.1_NZ_BQID01000005.1.region001","1","1","1","0","0","0","Pseudomonas pharyngis","1","0","NRP-siderophore.NRPS.terpene","1","1","1","region001","MIXED","0","0","false","GCF_021602345.1_ASM2160234v1_genomic_NZ_BQID01000005.1.region001","Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas","0","1","0","0"
"NZ_CP014205.2","GCF_001594225.2","Others","0","0","0","0","0","Pseudomonas glycinae strain MS586 chromosome, complete genome","0","0","0","0","0","0","0","0","0","1","0","0","0","0","GCF_001594225.2_ASM159422v2_genomic_NZ_CP014205.2.region011","GCF_001594225.2_NZ_CP014205.2.region011","1","1","1","0","0","0","Pseudomonas glycinae","1","0","NRP-siderophore.NRPS.terpene","1","1","1","region011","MIXED","0","0","false","GCF_001594225.2_ASM159422v2_genomic_NZ_CP014205.2.region011","Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas","0","1","0","0"
"NZ_CP068034.2","GCF_016694755.2","Others","0","0","0","0","0","Pseudomonas syringae strain BIM B-268 chromosome, complete genome","0","0","0","0","0","1","0","0","0","0","0","0","0","0","GCF_016694755.2_ASM1669475v2_genomic_NZ_CP068034.2.region005","GCF_016694755.2_NZ_CP068034.2.region005","2","1","1","0","1","0","Pseudomonas syringae","0","0","NRP-siderophore.NRPS","1","1","1","region005","MIXED","0","0","false","GCF_016694755.2_ASM1669475v2_genomic_NZ_CP068034.2.region005","Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas","1","1","0","0"
"NZ_QJRC01000098.1","GCF_013393325.1","Others","0","0","0","0","0","Pseudomonas hunanensis strain xwS6 337, whole genome shotgun sequence","0","0","0","0","0","0","0","0","0","0","0","0","0","0","GCF_013393325.1_ASM1339332v1_genomic_NZ_QJRC01000098.1.region001","GCF_013393325.1_NZ_QJRC01000098.1.region001","0","1","1","0","0","0","Pseudomonas hunanensis","0","0","NRP-siderophore.NRPS","0","1","1","region001","PYOVERDINE","0","0","false","GCF_013393325.1_ASM1339332v1_genomic_NZ_QJRC01000098.1.region001","Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas","0","0","0","0"
"CP000076.1","","Others",,,,,,"Pseudomonas protegens Pf-5, complete genome",,,,,,,,,,,,,,,"ref_pyoverdine2_CP000076.1_CP000076.1.region001","",,,,,,,".",,,"NRP-siderophore.NRPS.ranthipeptide",,,,"","",,,"false","ref_pyoverdine2_CP000076.1_CP000076.1.region001","",,,,
"NZ_CP081178.1","GCF_019693255.1","Others","0","0","0","0","0","Pseudomonas mandelii strain KGI_MA19 chromosome, complete genome","0","0","0","0","0","0","0","0","0","1","0","0","0","0","GCF_019693255.1_ASM1969325v1_genomic_NZ_CP081178.1.region006","GCF_019693255.1_NZ_CP081178.1.region006","1","1","1","0","0","0","Pseudomonas mandelii","1","0","ranthipeptide.NRPS.NRP-siderophore","1","1","1","region006","MIXED","0","0","false","GCF_019693255.1_ASM1969325v1_genomic_NZ_CP081178.1.region006","Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas","0","1","0","0"
"NZ_CP027706.1","GCF_003850565.1","Others","0","0","0","0","0","Pseudomonas sessilinigenes strain CMR12a chromosome, complete genome","0","0","0","0","0","0","0","0","0","1","0","0","0","0","GCF_003850565.1_ASM385056v1_genomic_NZ_CP027706.1.region019","GCF_003850565.1_NZ_CP027706.1.region019","1","1","1","0","0","0","Pseudomonas sessilinigenes","1","0","NRP-siderophore.NRPS","1","1","1","region019","MIXED","0","0","false","GCF_003850565.1_ASM385056v1_genomic_NZ_CP027706.1.region019","Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas","0","1","0","0"
"NZ_CP070503.1","GCF_017167965.1","Others","0","0","0","0","0","Pseudomonas atacamensis strain SM1 chromosome, complete genome","0","0","0","0","0","0","0","0","0","1","0","0","0","0","GCF_017167965.1_ASM1716796v1_genomic_NZ_CP070503.1.region006","GCF_017167965.1_NZ_CP070503.1.region006","1","1","1","0","1","0","Pseudomonas atacamensis","1","0","NRP-siderophore.NRPS.terpene","1","1","1","region006","MIXED","0","0","false","GCF_017167965.1_ASM1716796v1_genomic_NZ_CP070503.1.region006","Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas","1","1","0","0"
"NZ_JABWQP020000007.1","GCF_014268505.2","Others","0","0","0","0","0","Pseudomonas khorasanensis strain SWRI153 7, whole genome shotgun sequence","0","0","0","0","0","0","0","0","0","1","0","0","0","0","GCF_014268505.2_ASM1426850v2_genomic_NZ_JABWQP020000007.1.region001","GCF_014268505.2_NZ_JABWQP020000007.1.region001","1","1","1","0","1","0","Pseudomonas khorasanensis","1","0","NRP-siderophore.NRPS.terpene","1","1","1","region001","MIXED","0","0","false","GCF_014268505.2_ASM1426850v2_genomic_NZ_JABWQP020000007.1.region001","Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas","1","1","0","0"
"NZ_CP063456.1","GCF_015168335.1","Others","0","0","0","0","0","Pseudomonas shirazica strain A28 chromosome, complete genome","0","0","0","0","0","0","0","0","0","0","0","0","0","0","GCF_015168335.1_ASM1516833v1_genomic_NZ_CP063456.1.region002","GCF_015168335.1_NZ_CP063456.1.region002","0","1","1","0","0","0","Pseudomonas shirazica","0","0","NRP-siderophore.NRPS","0","1","1","region002","PYOVERDINE","0","0","false","GCF_015168335.1_ASM1516833v1_genomic_NZ_CP063456.1.region002","Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas","0","0","0","0"
"NZ_CP077073.1","GCF_019139535.1","Others","0","0","0","0","0","Pseudomonas muyukensis strain COW39 chromosome, complete genome","0","0","0","0","0","0","0","0","0","0","0","0","0","0","GCF_019139535.1_ASM1913953v1_genomic_NZ_CP077073.1.region004","GCF_019139535.1_NZ_CP077073.1.region004","0","1","1","0","0","0","Pseudomonas muyukensis","0","0","NRP-siderophore.NRPS","0","1","1","region004","PYOVERDINE","0","0","false","GCF_019139535.1_ASM1913953v1_genomic_NZ_CP077073.1.region004","Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas","0","0","0","0"
"NZ_JMIT01000001.1","GCF_000731675.1","Others","0","0","0","0","0","Pseudomonas capeferrum strain WCS358 WCS358-Sc1, whole genome shotgun sequence","0","0","0","0","0","0","0","0","0","0","0","0","0","0","GCF_000731675.1_ASM73167v1_genomic_NZ_JMIT01000001.1.region005","GCF_000731675.1_NZ_JMIT01000001.1.region005","0","1","1","0","0","0","Pseudomonas capeferrum","0","0","NRP-siderophore.NRPS","0","1","1","region005","PYOVERDINE","0","0","false","GCF_000731675.1_ASM73167v1_genomic_NZ_JMIT01000001.1.region005","Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas","0","0","0","0"
"NZ_CP077076.1","GCF_019139895.1","Others","0","0","0","0","0","Pseudomonas fakonensis strain COW40 chromosome, complete genome","0","0","0","0","0","0","0","0","0","0","0","0","0","0","GCF_019139895.1_ASM1913989v1_genomic_NZ_CP077076.1.region008","GCF_019139895.1_NZ_CP077076.1.region008","0","1","1","0","0","0","Pseudomonas fakonensis","0","0","NRP-siderophore.NRPS","0","1","1","region008","PYOVERDINE","0","0","false","GCF_019139895.1_ASM1913989v1_genomic_NZ_CP077076.1.region008","Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas","0","0","0","0"
"NZ_CP074676.1","GCF_018398475.1","Others","0","0","0","0","0","Pseudomonas qingdaonensis strain S-1 chromosome, complete genome","0","0","0","0","0","1","0","0","0","0","1","0","0","0","GCF_018398475.1_ASM1839847v1_genomic_NZ_CP074676.1.region002","GCF_018398475.1_NZ_CP074676.1.region002","2","1","1","0","1","0","Pseudomonas qingdaonensis","0","0","NRP-siderophore.NRPS","1","1","1","region002","MIXED","0","0","false","GCF_018398475.1_ASM1839847v1_genomic_NZ_CP074676.1.region002","Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas","0","1","0","0"
"NZ_JABWRJ020000005.1","GCF_014268935.2","Others","0","0","0","0","0","Pseudomonas peradeniyensis strain BW13M1 5, whole genome shotgun sequence","0","0","0","0","0","0","0","0","0","0","0","0","0","0","GCF_014268935.2_ASM1426893v2_genomic_NZ_JABWRJ020000005.1.region002","GCF_014268935.2_NZ_JABWRJ020000005.1.region002","0","1","1","0","0","0","Pseudomonas peradeniyensis","0","0","NRP-siderophore.NRPS","0","1","1","region002","PYOVERDINE","0","0","false","GCF_014268935.2_ASM1426893v2_genomic_NZ_JABWRJ020000005.1.region002","Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas","0","0","0","0"
"NZ_CP009365.1","GCF_000498975.2","Others","0","0","0","0","0","Pseudomonas soli strain SJ10 chromosome, complete genome","0","0","0","0","0","0","0","0","0","0","0","0","0","0","GCF_000498975.2_ASM49897v2_genomic_NZ_CP009365.1.region002","GCF_000498975.2_NZ_CP009365.1.region002","0","1","1","0","0","0","Pseudomonas soli","0","0","NRP-siderophore.NRPS","0","1","1","region002","PYOVERDINE","0","0","false","GCF_000498975.2_ASM49897v2_genomic_NZ_CP009365.1.region002","Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas","0","0","0","0"
"NZ_LT629709.1","GCF_900104125.1","Others","0","0","0","0","0","Pseudomonas reinekei strain DSM 18361 chromosome I","0","0","0","0","0","0","0","0","0","1","0","0","0","0","GCF_900104125.1_IMG-taxon_2639762506_annotated_assembly_genomic_NZ_LT629709.1.region008","GCF_900104125.1_NZ_LT629709.1.region008","1","1","1","0","0","0","Pseudomonas reinekei","1","0","NRP-siderophore.NRPS","1","1","1","region008","MIXED","0","0","false","GCF_900104125.1_IMG-taxon_2639762506_annotated_assembly_genomic_NZ_LT629709.1.region008","Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas","0","1","0","0"
"NC_021505.1","GCF_000412675.1","Others","0","0","0","0","0","Pseudomonas putida NBRC 14164, complete sequence","0","0","0","0","0","0","0","0","0","0","0","0","0","0","GCF_000412675.1_ASM41267v1_genomic_NC_021505.1.region003","GCF_000412675.1_NC_021505.1.region003","0","1","1","0","0","0","Pseudomonas putida NBRC 14164","0","0","NRP-siderophore.NRPS","0","1","1","region003","PYOVERDINE","0","0","false","GCF_000412675.1_ASM41267v1_genomic_NC_021505.1.region003","Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas","0","0","0","0"
"NZ_LT629802.1","GCF_900106045.1","Others","0","0","0","0","0","Pseudomonas mucidolens strain LMG 2223 chromosome I","0","0","0","0","0","0","0","0","0","1","0","0","0","0","GCF_900106045.1_IMG-taxon_2667527233_annotated_assembly_genomic_NZ_LT629802.1.region003","GCF_900106045.1_NZ_LT629802.1.region003","1","1","1","0","1","0","Pseudomonas mucidolens","1","0","NRP-siderophore.NRPS","1","1","1","region003","MIXED","0","0","false","GCF_900106045.1_IMG-taxon_2667527233_annotated_assembly_genomic_NZ_LT629802.1.region003","Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas","1","1","0","0"
"NZ_BQHR01000012.1","GCF_021601625.1","Others","0","0","0","0","0","Pseudomonas paraglycinae strain BML-PP023 sequence12, whole genome shotgun sequence","0","0","0","0","0","0","0","0","0","1","0","0","0","0","GCF_021601625.1_ASM2160162v1_genomic_NZ_BQHR01000012.1.region001","GCF_021601625.1_NZ_BQHR01000012.1.region001","1","1","1","0","1","0","Pseudomonas paraglycinae","1","0","NRP-siderophore.NRPS","1","1","1","region001","MIXED","0","0","false","GCF_021601625.1_ASM2160162v1_genomic_NZ_BQHR01000012.1.region001","Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas","1","1","0","0"
"NZ_VXCA01000013.1","GCF_011369485.1","Others","0","0","0","0","0","Pseudomonas atagonensis strain PS14 morimoto447_S15_L001_R1_001_(paired)_contig_13, whole genome shotgun sequence","0","0","0","0","0","0","0","0","0","1","1","0","0","0","GCF_011369485.1_ASM1136948v1_genomic_NZ_VXCA01000013.1.region001","GCF_011369485.1_NZ_VXCA01000013.1.region001","1","1","1","0","1","0","Pseudomonas atagonensis","1","0","NRP-siderophore.NRPS.terpene","1","1","1","region001","MIXED","0","0","false","GCF_011369485.1_ASM1136948v1_genomic_NZ_VXCA01000013.1.region001","Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas","0","1","0","0"
"NZ_CP071586.1","GCF_019614655.1","Others","0","0","0","0","0","Pseudomonas germanica strain FIT28 chromosome, complete genome","0","0","0","0","0","0","0","0","0","1","0","0","0","0","GCF_019614655.1_ASM1961465v1_genomic_NZ_CP071586.1.region005","GCF_019614655.1_NZ_CP071586.1.region005","1","1","1","0","1","0","Pseudomonas germanica","1","0","NRP-siderophore.NRPS","1","1","1","region005","MIXED","0","0","false","GCF_019614655.1_ASM1961465v1_genomic_NZ_CP071586.1.region005","Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas","1","1","0","0"
"NZ_CP012400.2","GCF_001612705.2","Others","0","0","0","0","0","Pseudomonas yamanorum strain LBUM636 chromosome, complete genome","0","0","0","0","0","0","0","0","0","1","1","0","0","0","GCF_001612705.2_ASM161270v2_genomic_NZ_CP012400.2.region003","GCF_001612705.2_NZ_CP012400.2.region003","1","1","1","0","1","0","Pseudomonas yamanorum","1","0","NRP-siderophore.NRPS","1","1","1","region003","MIXED","0","0","false","GCF_001612705.2_ASM161270v2_genomic_NZ_CP012400.2.region003","Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas","0","1","0","0"
"NZ_JABWRD020000001.1","GCF_014268785.2","Others","0","0","0","0","0","Pseudomonas shirazensis strain SWRI56 1, whole genome shotgun sequence","0","0","0","0","0","0","0","0","0","0","0","0","0","0","GCF_014268785.2_ASM1426878v2_genomic_NZ_JABWRD020000001.1.region001","GCF_014268785.2_NZ_JABWRD020000001.1.region001","0","1","1","0","0","0","Pseudomonas shirazensis","0","0","NRP-siderophore.NRPS","0","1","1","region001","PYOVERDINE","0","0","false","GCF_014268785.2_ASM1426878v2_genomic_NZ_JABWRD020000001.1.region001","Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas","0","0","0","0"
"NZ_CP024159.1","GCF_002736065.1","Others","0","0","0","0","0","Pseudomonas mosselii strain PtA1 chromosome, complete genome","0","0","0","0","0","0","0","0","0","0","0","0","0","0","GCF_002736065.1_ASM273606v1_genomic_NZ_CP024159.1.region009","GCF_002736065.1_NZ_CP024159.1.region009","0","1","1","0","0","0","Pseudomonas mosselii","0","0","NRP-siderophore.NRPS","0","1","1","region009","PYOVERDINE","0","0","false","GCF_002736065.1_ASM273606v1_genomic_NZ_CP024159.1.region009","Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas","0","0","0","0"
"NZ_CP077080.1","GCF_019141525.1","Others","0","0","0","0","0","Pseudomonas alvandae strain SWRI17 chromosome, complete genome","0","0","0","0","0","0","0","0","0","1","0","0","0","0","GCF_019141525.1_ASM1914152v1_genomic_NZ_CP077080.1.region003","GCF_019141525.1_NZ_CP077080.1.region003","0","1","1","0","0","0","Pseudomonas alvandae","1","0","NRP-siderophore.NRPS","1","1","1","region003","MIXED","0","0","false","GCF_019141525.1_ASM1914152v1_genomic_NZ_CP077080.1.region003","Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas","0","0","0","0"
"NZ_JADTXL010000009.1","GCF_016008925.1","Others","0","0","0","0","0","Pseudomonas guariconensis strain PSB00029 PSB00029_c0009, whole genome shotgun sequence","0","0","0","0","0","0","0","0","0","0","0","0","0","0","GCF_016008925.1_ASM1600892v1_genomic_NZ_JADTXL010000009.1.region001","GCF_016008925.1_NZ_JADTXL010000009.1.region001","0","1","1","0","0","0","Pseudomonas guariconensis","0","0","NRP-siderophore.NRPS","0","1","1","region001","PYOVERDINE","0","0","false","GCF_016008925.1_ASM1600892v1_genomic_NZ_JADTXL010000009.1.region001","Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas","0","0","0","0"
"NZ_CP077090.1","GCF_014268485.2","Others","0","0","0","0","0","Pseudomonas zeae strain OE 48.2 chromosome, complete genome","0","0","0","0","0","0","0","0","0","1","0","0","0","0","GCF_014268485.2_ASM1426848v2_genomic_NZ_CP077090.1.region006","GCF_014268485.2_NZ_CP077090.1.region006","1","1","1","0","1","0","Pseudomonas zeae","1","0","NRP-siderophore.NRPS.terpene","1","1","1","region006","MIXED","0","0","false","GCF_014268485.2_ASM1426848v2_genomic_NZ_CP077090.1.region006","Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas","1","1","0","0"
"NZ_BQIP01000004.1","GCF_021602585.1","Others","0","0","0","0","0","Pseudomonas faucium strain BML-PP048 sequence04, whole genome shotgun sequence","0","0","0","0","0","0","0","0","0","0","1","0","0","0","GCF_021602585.1_ASM2160258v1_genomic_NZ_BQIP01000004.1.region001","GCF_021602585.1_NZ_BQIP01000004.1.region001","1","1","1","0","1","0","Pseudomonas faucium","0","0","NRP-siderophore.NRPS","1","1","1","region001","MIXED","0","0","false","GCF_021602585.1_ASM2160258v1_genomic_NZ_BQIP01000004.1.region001","Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas","0","1","0","0"
"NZ_JABWRE020000001.1","GCF_014268815.2","Others","0","0","0","0","0","Pseudomonas urmiensis strain SWRI10 1, whole genome shotgun sequence","0","0","0","0","0","0","0","0","0","0","0","0","0","0","GCF_014268815.2_ASM1426881v2_genomic_NZ_JABWRE020000001.1.region001","GCF_014268815.2_NZ_JABWRE020000001.1.region001","1","1","1","0","1","0","Pseudomonas urmiensis","0","0","NRP-siderophore.NRPS","1","1","1","region001","MIXED","0","0","false","GCF_014268815.2_ASM1426881v2_genomic_NZ_JABWRE020000001.1.region001","Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas","1","1","0","0"
