ID,designation_header,strain_number_header,is_type_strain_header,species,"Genome seq. accession number"
14,9H-2,"DSM 15548, IFO 16604, JCM 11197, NBRC 16604, NRIC 0483, CIP 107378",1,"Acetobacter syzygii",GCA_000964225
,,,,,GCA_007989285
17,,"DSM 15551, IFO 16470, NBRC 16470, NRIC 0312, JCM 10947, BCRC 17166, LMG 19825",1,"Acetobacter tropicalis",GCA_000787635
,,,,,GCA_001580915
,,,,,GCA_007989245
5409,"Z-4391, Z-S11","DSM 8239",1,"Acetobacterium bakii",GCA_001263355
,,,,,GCA_008086625
5410,MC,"DSM 11527",0,"Acetobacterium dehalogenans",GCA_000472665
5407,"Z-4092, Z-B12","DSM 8237",1,"Acetobacterium paludosum",GCA_008086595
5401,C,"DSM 1911, ATCC 43740, JCM 2380",1,"Acetobacterium wieringae",GCA_001766835
5402,,"DSM 1030, ATCC 29683, JCM 2381, WB 1",1,"Acetobacterium woodii",GCA_000247605
131580,RL-C,"DSM 24657, CGMCC 1.5173, JCM 17603",1,"Acetobacteroides hydrogenigenes",GCA_004340205
5978,Z-7288,"DSM 5501, ATCC 49924",1,"Acetohalobium arabaticum",GCA_000144695
17777,NGA,"DSM 13181, ATCC BAA 54, JCM 12221",1,"Acetomicrobium mobile",GCA_000266925
17778,RWcit2,"DSM 13490, ACM 5076",1,"Acetomicrobium thermoterrenum",GCA_900107215
17111,APO-1,"DSM 6540, ATCC 51454",1,"Acetonema longum",GCA_000219125
159212,N93,"DSM 106692, NCTC 14351, ATCC TSD-139",1,"Acholeplasma equirhinis",GCA_017052655
97,"PG 8","DSM 23060, ATCC 23206, CIP 75.27, IFO (now NBRC) 14400, NCTC 10116, CCUG 32754",1,"Acholeplasma laidlawii",GCA_003385765
,,,,,GCA_900476025
156528,,"CCUG 62438, LMG 26852",1,"Achromobacter aegrifaciens",GCA_902859735
156530,,"CCUG 62440, LMG 26854",0,"Achromobacter aegrifaciens",GCA_902859965
140509,,"LMG 3411, CCUG 62454",1,"Achromobacter agilis",GCA_900496965
133323,AVA-1,"LMG 29108, NBRC 111463, PCU 352, TISTR 2383",1,"Achromobacter aloeverae",GCA_004121055
130142,AU15230,"DSM 29601, CCUG 61966, LMG 26690",1,"Achromobacter animicus",GCA_902859585
156477,,"CCUG 61965, LMG 26689",0,"Achromobacter animicus",GCA_902860025
156478,,"CCUG 61967, LMG 26691",0,"Achromobacter animicus",GCA_902860125
156534,,"CCUG 62444, LMG 26857",1,"Achromobacter anxifer",GCA_903652925
156535,,"CCUG 62445, LMG 26858",0,"Achromobacter anxifer",GCA_902860145
140506,,"LMG 3458, CCUG 62433",1,"Achromobacter deleyi",GCA_902859705
318,"12, 55B","DSM 30026, ATCC 15173, NCTC 8582, CCUG 407, LMG 1231, CIP 77.15, JCM 5490, LMG 3510, CECT 449, BCRC 12838, BCRC 14342, CCM 3427, CGMCC 1.1800, IAM 12370, IFO 15125, JCM 9657, NBRC 15125, NCIMB 11961, VTT E-991293",1,"Achromobacter denitrificans",GCA_001571365
,,,,,GCA_900444675
,,,,,GCA_902859715
136807,,"CIP 60.83, CCUG 61949, LMG 1860, JCM 20672, IAM 12595",0,"Achromobacter denitrificans",GCA_902859985
141589,,"CCUG 3353, IAM 12556, JCM 20635, LMG 3412, NCIMB 9387",0,"Achromobacter denitrificans",GCA_902860095
134918,,"CIP 110711, LMG 26840, CCUG 62421",1,"Achromobacter dolens",GCA_902859745
156522,,"CCUG 62422, LMG 26841",0,"Achromobacter dolens",GCA_902860115
156523,,"CCUG 62423, LMG 26842",0,"Achromobacter dolens",GCA_902859975
322,,"DSM 23807, CCUG 47057, LMG 6003, CIP 108202, API 201-3-84",1,"Achromobacter insolitus",GCA_001971645
,,,,,GCA_002209555
,,,,,GCA_902859615
152561,,"CCUG 47056, LMG 5997",0,"Achromobacter insolitus",GCA_902860175
152562,,"CCUG 47058, LMG 6000",0,"Achromobacter insolitus",GCA_902860165
152564,,"CCUG 47060, LMG 6001",0,"Achromobacter insolitus",GCA_902860205
136698,,"CIP 110710, LMG 26845, CCUG 62426",1,"Achromobacter insuavis",GCA_902859645
156525,,"CCUG 62427, LMG 26846",0,"Achromobacter insuavis",GCA_902860075
140507,,"CCUG 62449, LMG 3441",1,"Achromobacter kerstersii",GCA_902859595
140854,,"CCUG 56371, CCM 7608, CECT 7342, LMG 26219",1,"Achromobacter marplatensis",GCA_003315095
,,,,,GCA_902859635
130143,,"DSM 29602, LMG 26685, CCUG 61961",1,"Achromobacter mucicolens",GCA_902859725
156473,,"CCUG 61960, LMG 26684",0,"Achromobacter mucicolens",GCA_902860005
156474,,"CCUG 61962, LMG 26686",0,"Achromobacter mucicolens",GCA_902860105
140508,,"LMG 3431, CCUG 61959, ATCC 15445",1,"Achromobacter pestifer",GCA_902859625
320,366-5,"DSM 10342, ATCC 43552, CIP 60.75, IAM 12591, LMG 1873, JCM 20668, CGMCC 1.10399, NBRC 102461, NCTC 11970",1,"Achromobacter piechaudii",GCA_001571245
,,,,,GCA_902859685
156467,,"CCUG 61953, LMG 6103",0,"Achromobacter piechaudii",GCA_902860185
162986,,"JCM 20720, CCM 281, IAM 12661, LMG 1861, NCIMB 1051",0,"Achromobacter piechaudii",GCA_902860155
130144,,"DSM 29617, CCUG 61972, LMG 26696",1,"Achromobacter pulmonis",GCA_902859765
156481,,"CCUG 61971, LMG 26788",0,"Achromobacter pulmonis",GCA_902860065
309,,"DSM 653, ATCC 15749, CCUG 38886, LMG 1866, JCM 20676, CGMCC 1.10394, CIP 77.26, IAM 12600, IAM 12693, IAM 12694, JCM 20751, JCM 20752, NCIMB 11475, VKM B-1333",1,"Achromobacter ruhlandii",GCA_902859695
156468,,"CCUG 61954, LMG 1864, JCM 20746, CDC B7076, GIFU 956, IAM 12687",0,"Achromobacter ruhlandii",GCA_902860035
156469,,"CCUG 61955, LMG 3328, CIP 21.75",0,"Achromobacter ruhlandii",GCA_902860085
162299,,"JCM 18799",0,"Achromobacter sp.",GCA_001312205
323,,"CIP 108199, DSM 23806, CCUG 47062, LMG 5911, API 198-2-84",1,"Achromobacter spanius",GCA_002812705
,,,,,GCA_902859605
136829,,"CIP 60.81, ATCC 13138, JCM 20671, IAM 12594, LMG 3415, JCM 9658",0,"Achromobacter spanius",GCA_902859995
136825,,"CIP 71.33, JCM 9660, ATCC 27062, IAM 12685, LMG 3429, NCTC 10808",0,"Achromobacter xylosoxidans",GCA_900475575
166058,,"JCM 9787",0,"Achromobacter xylosoxidans",GCA_001312125
297,KM543,"DSM 2402, ATCC 27061, DSM 10346, NRRL 84082, CCUG 56438, CIP 71.32, NCTC 10807, LMG 1863, CCM 2741, IFO 15126, NCIMB 12033, JCM 9659, CCUG 12689, CECT 467, CECT 927, IAM 12684, NBRC 15126, NRRL B-4082",1,"Achromobacter xylosoxidans",GCA_000508285
,,,,,GCA_001457475
,,,,,GCA_001598595
17960,,"DSM 2784, Glu 65",1,"Acidaminobacter hydrogenoformans",GCA_900103005
98,VR4,"CCUG 9996, CIP 106432, DSM 20731, ATCC 25085",1,"Acidaminococcus fermentans",GCA_000025305
,,,,,GCA_020735645
158826,WCA-389-WT-5B,"DSM 105754",0,"Acidaminococcus fermentans",GCA_009696675
99,,"DSM 21505, CCUG 50930, CIP 108586, KCTC 15229, ADV 255.99, AIP 283.01",1,"Acidaminococcus intestini",GCA_000425045
16643,,"DSM 3772, JCM 9191, LEI 10",1,"Acidianus ambivalens",GCA_009428885
16640,,"DSM 1651, IFO 15269, NBRC 15269",1,"Acidianus brierleyi",GCA_003201835
16642,So4a,"DSM 3191, NBRC 106462, JCM 8955, IFO 15270, NBRC 15270",1,"Acidianus infernus",GCA_009729545
131324,RZ1,"DSM 29099, JCM 30227",0,"Acidianus sp.",GCA_013133895
16644,JP7,"DSM 18786, JCM 13667",1,"Acidianus sulfidivorans",GCA_003201765
166226,G45-3,"CGMCC 1.16069, KCTC 62275",1,"Acidibrevibacterium fodinaquatile",GCA_003352165
159903,"RGM 2506, USS-CCA1","DSM 106828",1,"Acidiferrimicrobium australe",GCA_009697115
158294,SPIII/3,"DSM 27195",0,"Acidiferrobacter sp.",GCA_003184265
4303,m-1,"DSM 2392, JCM 17358",1,"Acidiferrobacter thiooxydans",GCA_003333315
6149,V6,"DSM 14174, JCM 32253",1,"Acidihalobacter aeolianus",GCA_001753165
24820,V8,"DSM 14175, JCM 32254",1,"Acidihalobacter ferrooxydans",GCA_001975725
6148,LM3,"DSM 5130, JCM 30709",1,"Acidihalobacter prosperus",GCA_000754095
17800,345-15,"DSM 16705, JCM 18335, VKM B-2471",1,"Acidilobus saccharovorans",GCA_000144915
166169,MS2-2,"MCCC 1K02682, NBRC 112978",1,"Acidimangrovimonas sediminis",GCA_002871005
106,ICP,"DSM 10331, NBRC 103882, JCM 15462",1,"Acidimicrobium ferrooxidans",GCA_000023265
131572,PM,"DSM 24941",0,"Acidiphilium sp.",GCA_000219295
158200,JA12-A1,"DSM 100189",0,"Acidiphilium sp.",GCA_000724705
132354,DHOF10,"DSM 103429, CGMCC 1.13007, KCTC 42631",1,"Silvibacterium dinghuense",GCA_004123295
,,,,,GCA_014640355
132249,AP8,"DSM 103428, KCTC 23427, NBRC 107607",1,"Acidipila rosea",GCA_004339725
5459,V,"DSM 18409, JCM 14615",1,"Acidiplasma aeolicum",GCA_001399695
5460,BH2,"DSM 16651, JCM 13668",1,"Acidiplasma cupricumulans",GCA_001316225
,,,,,GCA_001402935
12633,14X,"DSM 4900, ATCC 25562, VPI 0399",1,"Acidipropionibacterium acidipropionici",GCA_000427845
12634,4,"DSM 20272, ATCC 4875, NCDO 570, NCIB 8070, JCM 6432, IFO 12425, NBRC 12425, NCIMB 8070, VPI 10402",0,"Acidipropionibacterium acidipropionici",GCA_000310065
12651,29,"CCUG 48883, CIP 103028, NCIMB 8071, DSM 20535, ATCC 4868, NCDO 850, NCIB 8071",1,"Acidipropionibacterium jensenii",GCA_000425285
12654,15,"DSM 20276, ATCC 4874, CCM 1865, CCUG 28149, HAMBI 247, JCM 6437, LMG 16455, NCDO 568, NCIB 5966, CGMCC 1.2228, CIP 103029, LMG 16731, NCIMB 5966, VPI 0412, VTT E-79095",1,"Acidipropionibacterium thoenii",GCA_000423445
158421,JS278,"DSM 106790, VTT E-113202",1,"Acidipropionibacterium virtanenii",GCA_003325455
67,HS-AP3,"DSM 16009, JCM 10600",1,"Acidisphaera rubrifaciens",GCA_000964365
17890,IC-180,"DSM 45281, JCM 15389",1,"Aciditerrimonas ferrireducens",GCA_001311945
128,,"DSM 14366, ATCC 35403",1,"Acidithiobacillus albertensis",GCA_001931655
126,KU,"DSM 8584, ATCC 51756",1,"Acidithiobacillus caldus",GCA_000175575
,,,,,GCA_018853545
,,,,,GCA_018853615
127,C-SH12,"DSM 9466",0,"Acidithiobacillus caldus",GCA_018854145
160797,MG,"DSM 107098, JCM 33084",1,"Acidithiobacillus ferrianus",GCA_010378095
130138,11Fe,"DSM 29468, ATCC 33020, JCM 18981",1,"Acidithiobacillus ferridurans",GCA_003966655
,,,,,GCA_018854555
132357,M20,"DSM 100412, JCM 30830",1,"Acidithiobacillus ferriphilus",GCA_018854775
129,NO-37,"DSM 22755, JCM 15606",1,"Acidithiobacillus ferrivorans",GCA_018853935
119,SS3,"DSM 17398",0,"Acidithiobacillus ferrivorans",GCA_000214095
118,,"DSM 14882, ATCC 23270, NCIMB 8455",1,"Acidithiobacillus ferrooxidans",GCA_000021485
111,,"DSM 583",0,"Acidithiobacillus ferrooxidans",GCA_018854535
114,F221,"DSM 1927",0,"Acidithiobacillus ferrooxidans",GCA_018854265
116,NFe-4,"DSM 9465",0,"Acidithiobacillus ferrooxidans",GCA_018854615
159192,CJ-2,"DSM 105150, KCTC 4683",1,"Acidithiobacillus sulfuriphilus",GCA_003721225
125,3/TA,"DSM 14887, ATCC 19377, JCM 3867, NCIMB 8343, CIP 104597, IAM 12134",1,"Acidithiobacillus thiooxidans",GCA_000227215
,,,,,GCA_006718285
,,,,,GCA_009662475
121,,"DSM 504, ATCC 8085, IFO 12544, NBRC 12544, NCIMB 9112, JCM 3866, IAM 12133",0,"Acidithiobacillus thiooxidans",GCA_018854645
132685,CLST,"DSM 103717",0,"Acidithiobacillus thiooxidans",GCA_002079865
137426,,"CIP 104766, ATCC 19703, NCIMB 8345",0,"Acidithiobacillus thiooxidans",GCA_018853445
164862,,"JCM 3868, ATCC 15494",0,"Acidithiobacillus thiooxidans",GCA_018854725
159490,Py-F3,"DSM 28176, JCM 19728",0,"Acidithrix ferrooxidans",GCA_000949295
133033,PMMR2,"DSM 27394, LMG 28340",1,"Acidobacterium ailaaui",GCA_000688455
131,161,"DSM 11244, ATCC 51196, JCM 7670, NCIMB 13165, BCRC 80197, IFO 15755, NBRC 15755",1,"Acidobacterium capsulatum",GCA_000022565
32,,"DSM 11237, ATCC 51361, JCM 8796",1,"Acidiphilium aminilyticum",GCA_000964385
,,,,,GCA_900129125
23490,PFBC,"DSM 27026, NCCB 100456",1,"Acidocella aromatica",GCA_014201825
33,"MB 58","DSM 5432, ATCC 43581, IMET 10945, CCUG 37300, LMG 1668, JCM 6891, BCC 12263, BCRC 16049, CCM 4121, CIP 103167, NBRC 104435, NRIC 0498, VKM B-2104",1,"Acidomonas methanolica",GCA_000617865
,,,,,GCA_004346035
,,,,,GCA_007988925
2891,,"DSM 7227, ATCC 19860, ICMP 3183, ICPB PA117, NCPPB 1011, CCUG 15838, LMG 2117, CIP 106500, JCM 20985, CFBP 2425, IAM 13658",1,"Acidovorax avenae",GCA_000176855
2903,R-24608,"DSM 19327, LMG 24103",1,"Acidovorax caeni",GCA_001298675
,,,,,GCA_900116825
139835,NA3,"DSM 105008",1,"Acidovorax carolinensis",GCA_002157145
2902,,"DSM 17101, ATCC 33619, CFBP 2423, ICMP 2826, ICPB PC21, LMG 2364, NCPPB 961, NRRL B835, CCUG 21975, NRRL B-835, CIP 106435",1,"Acidovorax cattleyae",GCA_900104515
2901,,"CCUG 17393, CIP 106436, DSM 17060, ATCC 29625, CCUG 1739, ICMP 7500, LMG 5376",1,"Acidovorax citrulli",GCA_900100305
22971,M6,"DSM 26939",0,"Acidovorax citrulli",GCA_001593665
158808,KNDSW-TSA6,"MTCC 12652, KCTC 52819, VTCC B-910010",1,"Acidovorax kalamii",GCA_002245625
2893,K2,"DSM 7481, ATCC 33996, CCUG 17394, ICMP 7733, LMG 5691, JCM 2397, CIP 106439, CFBP 4460, NCPPB 3698",1,"Pseudomonas avenae subsp. konjaci",GCA_900112675
135927,,"CIP 106433, CCUG 15836, LMG 1806, NCPPB 1392, ATCC 19882, ICMP 3960, CFBP 2426",0,"Acidovorax oryzae",GCA_000687165
2905,N35,"DSM 23535, LMG 25767",1,"Acidovorax radicis",GCA_000204195
2904,BL21,"DSM 25157, JCM 15909, KCTC 22399",1,"Acidovorax soli",GCA_900107605
2896,JS42,"DSM 22895",0,"Acidovorax sp.",GCA_000015545
131581,Root217,"DSM 102361",0,"Acidovorax sp.",GCA_001428645
131582,Root219,"DSM 102362",0,"Acidovorax sp.",GCA_001428665
131583,Root267,"DSM 102363",0,"Acidovorax sp.",GCA_001429215
131584,Root275,"DSM 102364",0,"Acidovorax sp.",GCA_001428965
131585,Root70,"DSM 102367",0,"Acidovorax sp.",GCA_001428225
131587,Leaf84,"DSM 102561",0,"Acidovorax sp.",GCA_001422105
131588,Leaf160,"DSM 102562",0,"Acidovorax sp.",GCA_001424265
131589,Leaf78,"DSM 102563",0,"Acidovorax sp.",GCA_001422735
131590,Leaf191,"DSM 102564",0,"Acidovorax sp.",GCA_001424425
131592,Leaf76,"DSM 102566",0,"Acidovorax sp.",GCA_001422065
2892,,"DSM 7270, ATCC 49665, CCUG 11779, LMG 7169",1,"Acidovorax temperans",GCA_006716905
2899,,"DSM 16619, CFBP 4730, NCPPB 4283",1,"Acidovorax valerianellae",GCA_900102625
23868,"NF 1078","DSM 27981, CCUG 62584, LMG 26971",1,"Acidovorax wautersii",GCA_900113035
23434,T469,"DSM 19572",1,"Aciduliprofundum boonei",GCA_000025665
,,,,,GCA_000151085
8093,"2208, 81","DSM 30007, ATCC 19606, CIP 70.34, DSM 6974, JCM 6841, CCUG 19096, CGMCC 1.6769, IAM 12088, KCTC 2508, LMG 1041, LMG 10545, NBRC 109757, NCIMB 12457, NCTC 12156",1,"Acinetobacter baumannii",GCA_000162295
,,,,,GCA_000369385
,,,,,GCA_000614705
,,,,,GCA_000737145
,,,,,GCA_000931755
,,,,,GCA_002811175
,,,,,GCA_009035845
,,,,,GCA_009759685
,,,,,GCA_014116795
,,,,,GCA_014672755
8095,,"DSM 30011, ATCC 23220, NCIMB 8208, NRRL B-551",0,"Acinetobacter baumannii",GCA_001936675
132687,"Piéchaud 5377, Piéchaud strain Rochefort","DSM 105126, ATCC 17978, CIP 53.77, LMG 1025, NCDC KC755, Bouvet and Grimont 8",0,"Acinetobacter baumannii",GCA_000015425
,,,,,GCA_001077675
,,,,,GCA_001593425
,,,,,GCA_004794235
,,,,,GCA_004794275
,,,,,GCA_004797155
,,,,,GCA_011067065
,,,,,GCA_013372085
,,,,,GCA_014672775
,,,,,GCA_902728005
134717,,"CIP 110428, NIPH 146",0,"Acinetobacter baumannii",GCA_000368185
134718,,"CIP 110429, NIPH 190",0,"Acinetobacter baumannii",GCA_000368525
134722,,"CIP 110434, NIPH 410",0,"Acinetobacter baumannii",GCA_000413915
134783,,"CIP 110436, NIPH 528, CCM 7290, LMG 10541, RUH 134, CCUG 60612",0,"Acinetobacter baumannii",GCA_000369285
134981,,"CIP 110437, NIPH 601",0,"Acinetobacter baumannii",GCA_000369245
135233,,"CIP 110432, NIPH 329",0,"Acinetobacter baumannii",GCA_000369225
135561,,"CIP 110431, NIPH 290",0,"Acinetobacter baumannii",GCA_000369325
135562,,"CIP 110464, NIPH 1669",0,"Acinetobacter baumannii",GCA_000368105
135661,,"CIP 70.10, ATCC 15151",0,"Acinetobacter baumannii",GCA_001457535
135763,,"CIP 110467, NIPH 2061",0,"Acinetobacter baumannii",GCA_000368225
136755,,"CIP 110438, NIPH 615",0,"Acinetobacter baumannii",GCA_000368205
136766,,"CIP 110463, NIPH 1362",0,"Acinetobacter baumannii",GCA_000368125
136828,,"CIP 110466, NIPH 1734",0,"Acinetobacter baumannii",GCA_000368245
137208,,"CIP 110435, NIPH 527, CCM 7289, LMG 10543, RUH 875",0,"Acinetobacter baumannii",GCA_000369185
137459,,"CIP 110433, NIPH 335",0,"Acinetobacter baumannii",GCA_000369205
138562,,"CIP 70.32, ATCC 17961",0,"Acinetobacter baumannii",GCA_015910475
138786,,"CIP 110430, NIPH 201",0,"Acinetobacter baumannii",GCA_000369165
139048,,"CIP 70.22, ATCC 17945",0,"Acinetobacter baumannii",GCA_001997285
157915,G7,"DSM 25645",0,"Acinetobacter baumannii",GCA_001512195
8126,B2,"DSM 14961, CIP 107474, CCUG 50765, CCM 7195",1,"Acinetobacter baylyi",GCA_000368685
,,,,,GCA_000621045
8128,"ADP1, BD413","DSM 24193, ATCC 33305",0,"Acinetobacter baylyi",GCA_000046845
8141,58a,"DSM 22901, CCM 7266, CCUG 51249, JCM 18990, NIPH 838, LUH 4759, CIP 110307, GTC 14628, LMG 25324, NBRC 112579",1,"Acinetobacter beijerinckii",GCA_000369005
,,,,,GCA_000931715
8145,69,"DSM 25435, ATCC 17924, CIP 70.12, LMG 1003, NIPH 521, CCUG 26493, ATCC 13702",1,"Acinetobacter bereziniae",GCA_000248295
,,,,,GCA_000368925
130455,,"DSM 100419, JCM 18977, KCTC 42081, LMG 28467, NCCP 644, CCUG 69707",0,"Acinetobacter bohemicus",GCA_008802275
8131,4BO2,"CCUG 50766, DSM 14964, CIP 107468, JCM 18991, CCM 7196, GTC 3697, KCTC 12414, NBRC 112580",1,"Acinetobacter bouvetii",GCA_000368865
,,,,,GCA_000373725
,,,,,GCA_001485025
,,,,,GCA_018324105
